image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1987/9780198739838.jpg,Superintelligence,Nick Bostrom,Paperback,4.0,9.93,$,12.4,9780198739838,Reference,dataset/Reference/0000011.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4767/9781476753836.jpg,"Salt, Fat, Acid, Heat",Samin Nosrat,Hardback,4.5,26.59,$,37.6,9781476753836,Reference,dataset/Reference/0000012.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1431/9780143115267.jpg,Nudge,Richard H. Thaler,Paperback,4.0,11.7,$,13.0,9780143115267,Reference,dataset/Reference/0000013.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444734164.jpg,Is it Just Me?,Miranda Hart,Paperback,4.0,8.35,$,12.9,9781444734164,Reference,dataset/Reference/0000014.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9122/9781912286461.jpg,Guinness World Records 2019,Guinness World Records,Hardback,4.5,27.98,$,,9781912286461,Reference,dataset/Reference/0000015.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7436/9781743607473.jpg,Lonely Planet's Ultimate Travelist,Lonely Planet,Hardback,4.5,25.55,$,,9781743607473,Reference,dataset/Reference/0000016.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7160/9780716020783.jpg,An Indian Housewife's Recipe Book,Laxmi Khurana,Paperback,4.0,5.06,$,8.8,9780716020783,Reference,dataset/Reference/0000017.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8129/9780812973815.jpg,The Black Swan: Second Edition,Nassim Nicholas Taleb,Paperback,4.0,15.01,$,18.0,9780812973815,Reference,dataset/Reference/0000018.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5773/9781577311393.jpg,"The Complete Book of Essential Oils and Aromatherapy, Revised and Expanded",Valerie Ann Worwood,Paperback,4.5,22.42,$,,9781577311393,Reference,dataset/Reference/0000019.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9105/9781910561713.jpg,Guinness World Records 2018,Guinness World Records,Hardback,4.5,11.98,$,,9781910561713,Reference,dataset/Reference/0000020.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844086825.jpg,Half The Sky,Nicholas D. Kristof,Paperback,4.5,11.78,$,16.0,9781844086825,Reference,dataset/Reference/0000021.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6103/9781610392761.jpg,The Culture Map,Erin Meyer,Paperback,4.5,10.09,$,12.99,9781610392761,Reference,dataset/Reference/0000022.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8129/9780812992182.jpg,Vagabonding,Rolf Potts,Paperback,4.0,10.11,$,17.0,9780812992182,Reference,dataset/Reference/0000023.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6425/9781642500516.jpg,"Be Happy, Always",Xandria Ooi,Paperback,5.0,15.85,$,16.95,9781642500516,Reference,dataset/Reference/0000024.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3455/9780345548061.jpg,No-Drama Discipline,Dr Daniel J Siegel,Paperback,4.0,13.01,$,17.0,9780345548061,Reference,dataset/Reference/0000025.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408890776.jpg,Harry Potter - A Journey Through A History of Magic,British Library,Paperback,4.5,15.19,$,16.0,9781408890776,Reference,dataset/Reference/0000026.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099533115.jpg,Manufacturing Consent,Noam Chomsky,Paperback,4.0,11.35,$,13.9,9780099533115,Reference,dataset/Reference/0000027.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/8365/9783836514484.jpg,The Book of Symbols. Reflections on Archetypal Images,Archive for Research in Archetypal Symbolism,Hardback,4.5,23.56,$,24.26,9783836514484,Reference,dataset/Reference/0000028.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784700089.jpg,Alan Turing: The Enigma,Andrew Hodges,Paperback,4.0,13.41,$,13.9,9781784700089,Reference,dataset/Reference/0000029.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3161/9780316118408.jpg,The Flavor Bible,Karen Page,Hardback,4.0,29.5,$,38.0,9780316118408,Reference,dataset/Reference/0000030.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6006/9780600620426.jpg,New Larousse Gastronomique,,Hardback,4.5,94.3,$,,9780600620426,Reference,dataset/Reference/0000031.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6035/9781603580557.jpg,Thinking in Systems,Donella Meadows,Paperback,4.5,12.29,$,18.0,9781603580557,Reference,dataset/Reference/0000032.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099416937.jpg,The Prophet,Kahlil Gibran,Paperback,4.0,4.38,$,10.3,9780099416937,Reference,dataset/Reference/0000033.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1190/9781119002253.jpg,Storytelling with Data,Cole Nussbaumer Knaflic,Paperback,4.5,23.41,$,34.2,9781119002253,Reference,dataset/Reference/0000034.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8657/9780865713499.jpg,A Volcano in My Tummy,Eliane Whitehouse,Paperback,4.0,10.99,$,11.99,9780865713499,Reference,dataset/Reference/0000035.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3073/9780307352149.jpg,Quiet,Susan Cain,Hardback,4.0,20.78,$,27.5,9780307352149,Reference,dataset/Reference/0000036.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141983042.jpg,The Undoing Project,Michael Lewis,Paperback,4.0,9.93,$,11.5,9780141983042,Reference,dataset/Reference/0000037.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0071/9780007145188.jpg,Encyclopedia of Essential Oils,Julia Lawless,Paperback,4.0,16.79,$,21.1,9780007145188,Reference,dataset/Reference/0000038.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3073/9780307387097.jpg,Half the Sky,Nicholas D Kristof,Paperback,4.5,12.94,$,16.0,9780307387097,Reference,dataset/Reference/0000039.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409184676.jpg,The Ordnance Survey Puzzle Book,Ordnance Survey,Paperback,3.5,13.2,$,18.0,9781409184676,Reference,dataset/Reference/0000040.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8462/9781846274510.jpg,Behind the Beautiful Forevers,Katherine Boo,Paperback,4.0,8.95,$,10.5,9781846274510,Reference,dataset/Reference/0000041.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847948397.jpg,The Book of the Year 2018,No Such Thing As A Fish,Hardback,4.5,14.88,$,16.0,9781847948397,Reference,dataset/Reference/0000042.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8545/9781854596741.jpg,Actions: The Actors' Thesaurus,Marina Caldarone,Paperback,4.5,9.67,$,12.9,9781854596741,Reference,dataset/Reference/0000043.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7865/9781786571939.jpg,Lonely Planet's Where To Go When,Lonely Planet,Hardback,4.5,19.14,$,24.0,9781786571939,Reference,dataset/Reference/0000044.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/6798/9789679856057.jpg,My First Music Theory Book,Lina Ng,Paperback,4.0,6.31,$,,9789679856057,Reference,dataset/Reference/0000045.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9384/9781938469350.jpg,How To Brew,John Palmer,Paperback,4.5,18.49,$,24.0,9781938469350,Reference,dataset/Reference/0000046.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241951583.jpg,Hell's Angels,Hunter S. Thompson,Paperback,4.0,8.66,$,10.3,9780241951583,Reference,dataset/Reference/0000047.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4729/9781472942241.jpg,The Strange Death of Europe,Douglas Murray,Hardback,4.0,18.63,$,23.0,9781472942241,Reference,dataset/Reference/0000048.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241398630.jpg,The Art of Statistics,David Spiegelhalter,Hardback,4.5,17.5,$,25.2,9780241398630,Reference,dataset/Reference/0000049.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1431/9780143118442.jpg,Difficult Conversations,Douglas Stone,Paperback,4.0,13.57,$,21.5,9780143118442,Reference,dataset/Reference/0000050.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7295/9780729542548.jpg,Havard's Nursing Guide to Drugs,Adriana P. Tiziani,Paperback,5.0,51.81,$,76.6,9780729542548,Reference,dataset/Reference/0000051.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0074/9780007492893.jpg,Information is Beautiful (New Edition),David McCandless,Hardback,4.0,24.8,$,31.4,9780007492893,Reference,dataset/Reference/0000052.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6797/9780679741954.jpg,The Death and Life of Great American Cities,Jane Jacobs,Paperback,4.5,15.23,$,17.95,9780679741954,Reference,dataset/Reference/0000053.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486241784.jpg,Knitter's Almanac,Elizabeth Zimmermann,Paperback,4.5,7.77,$,7.8,9780486241784,Reference,dataset/Reference/0000054.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5264/9781526419521.jpg,Discovering Statistics Using IBM SPSS Statistics,Andy Field,Paperback,4.0,85.32,$,,9781526419521,Reference,dataset/Reference/0000055.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7881/9781788164481.jpg,Cribsheet,Emily Oster,Paperback,4.0,14.2,$,18.0,9781788164481,Reference,dataset/Reference/0000056.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4052/9781405291125.jpg,Minecraft Annual 2019,Mojang AB,Hardback,4.5,17.33,$,,9781405291125,Reference,dataset/Reference/0000057.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7602/9781760291952.jpg,SPSS Survival Manual,Julie Pallant,Paperback,4.0,42.6,$,,9781760291952,Reference,dataset/Reference/0000058.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847941275.jpg,The Culture Code,Daniel Coyle,Paperback,4.5,10.04,$,12.4,9781847941275,Reference,dataset/Reference/0000059.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3160/9780316014991.jpg,Writing Tools,Roy Peter Clark,Paperback,4.0,11.77,$,16.0,9780316014991,Reference,dataset/Reference/0000060.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0072/9780007268146.jpg,Collins Bird Guide,Lars Svensson,Paperback,4.5,20.24,$,25.2,9780007268146,Reference,dataset/Reference/0000061.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1928/9780192893307.jpg,Development as Freedom,Amartya Sen,Paperback,4.0,11.63,$,16.0,9780192893307,Reference,dataset/Reference/0000062.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3933/9780393347777.jpg,Naked Statistics,Charles Wheelan,Paperback,4.0,13.77,$,16.0,9780393347777,Reference,dataset/Reference/0000063.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9373/9780937381922.jpg,Brewing Classic Styles,Jamil Zainasheff,Paperback,4.5,16.6,$,20.1,9780937381922,Reference,dataset/Reference/0000064.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/6798/9789679856064.jpg,My Second Music Theory Book,Lina Ng,Paperback,5.0,6.36,$,,9789679856064,Reference,dataset/Reference/0000065.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8481/9781848139503.jpg,Decolonizing Methodologies,Linda Tuhiwai Smith,Paperback,4.5,21.86,$,24.0,9781848139503,Reference,dataset/Reference/0000066.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0605/9780060545697.jpg,"Self-Editing for Fiction Writers, Second Edition",Renni Browne,Paperback,4.0,12.07,$,14.8,9780060545697,Reference,dataset/Reference/0000067.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8570/9781857028898.jpg,The Code Book,Dr. Simon Singh,Paperback,4.5,9.55,$,13.8,9781857028898,Reference,dataset/Reference/0000068.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/1799/9788179925911.jpg,The Theory of Everything,Stephen Hawking,Paperback,4.0,12.71,$,36.07,9788179925911,Reference,dataset/Reference/0000069.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/6798/9789679856071.jpg,My Third Music Theory Book,Lina Ng,Paperback,0.0,6.36,$,,9789679856071,Reference,dataset/Reference/0000070.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099546078.jpg,The Almost Nearly Perfect People,Michael Booth,Paperback,4.0,10.47,$,12.9,9780099546078,Reference,dataset/Reference/0000071.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6121/9781612129686.jpg,Illustrated Herbiary: Guidance and Rituals from 36 Bewitching Botanicals,Maia Toll,Hardback,4.5,12.43,$,17.95,9781612129686,Reference,dataset/Reference/0000072.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5255/9780525533894.jpg,Wine Folly: Magnum Edition,Madeline Puckette,Hardback,4.5,24.53,$,35.0,9780525533894,Reference,dataset/Reference/0000073.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718193669.jpg,Poor Economics,Abhijit Banerjee,Paperback,4.0,9.73,$,12.9,9780718193669,Reference,dataset/Reference/0000074.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8567/9781856753746.jpg,Lagom,Linnea Dunne,Hardback,3.5,9.61,$,12.9,9781856753746,Reference,dataset/Reference/0000075.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471159459.jpg,The Phantom Atlas,Edward Brooke-hitching,Hardback,4.0,22.41,$,31.4,9781471159459,Reference,dataset/Reference/0000076.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5947/9781594771538.jpg,Muhammad,Martin Lings,Paperback,4.5,13.61,$,17.99,9781594771538,Reference,dataset/Reference/0000077.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408894736.jpg,Everybody Lies,Seth Stephens-davidowitz,Paperback,4.0,9.61,$,12.9,9781408894736,Reference,dataset/Reference/0000078.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4767/9781476796055.jpg,100 Deadly Skills,Clint Emerson,Paperback,3.5,16.92,$,20.1,9781476796055,Reference,dataset/Reference/0000079.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7810/9781781066768.jpg,Viz Annual 2019 The Pieman's Wig,Viz Magazine,Hardback,3.5,9.77,$,16.0,9781781066768,Reference,dataset/Reference/0000080.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5917/9781591796718.jpg,Subtle Body,Cyndi Dale,Paperback,4.5,28.26,$,39.6,9781591796718,Reference,dataset/Reference/0000081.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8517/9781851775552.jpg,The Little Dictionary of Fashion,Christian Dior,Hardback,4.0,10.91,$,12.9,9781851775552,Reference,dataset/Reference/0000082.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1995/9780199543786.jpg,Oxford Dictionary of English Idioms,John Ayto,Paperback,4.0,8.88,$,12.4,9780199543786,Reference,dataset/Reference/0000083.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7823/9781782398530.jpg,Brave Enough,Cheryl Strayed,Hardback,4.0,7.63,$,10.3,9781782398530,Reference,dataset/Reference/0000084.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0619/9780061997228.jpg,Wheelock's Latin,Frederic M. Wheelock,Paperback,4.0,18.04,$,20.1,9780061997228,Reference,dataset/Reference/0000085.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5712/9780571252480.jpg,Old Possum's Book of Practical Cats,T. S. Eliot,Paperback,4.0,10.52,$,,9780571252480,Reference,dataset/Reference/0000086.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780720371.jpg,The Social Animal,David Brooks,Paperback,4.0,11.32,$,11.5,9781780720371,Reference,dataset/Reference/0000087.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5713/9780571332465.jpg,"1,342 QI Facts To Leave You Flabbergasted",John Lloyd,Hardback,4.5,10.72,$,12.4,9780571332465,Reference,dataset/Reference/0000088.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846683022.jpg,Just My Type,Simon Garfield,Paperback,4.0,11.14,$,11.4,9781846683022,Reference,dataset/Reference/0000089.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7432/9780743258074.jpg,Benjamin Franklin,Walter Isaacson,Paperback,4.0,16.11,$,19.1,9780743258074,Reference,dataset/Reference/0000090.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8453/9781845337315.jpg,RHS Latin for Gardeners,Royal Horticultural Society,Hardback,4.5,14.8,$,18.0,9781845337315,Reference,dataset/Reference/0000091.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4052/9781405206235.jpg,Red Rackham's Treasure,Herge,Paperback,4.5,8.41,$,10.3,9781405206235,Reference,dataset/Reference/0000092.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4767/9781476788005.jpg,Grace's Guide,Grace Helbig,Paperback,4.0,13.74,$,16.0,9781476788005,Reference,dataset/Reference/0000093.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1987/9780198705383.jpg,The Oxford Companion to Wine,Julia Harding,Hardback,4.5,71.0,$,,9780198705383,Reference,dataset/Reference/0000094.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6716/9780671622480.jpg,People Skills,Robert Bolton,Paperback,4.0,11.36,$,16.0,9780671622480,Reference,dataset/Reference/0000095.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7865/9781786576538.jpg,The World,Lonely Planet,Hardback,4.5,20.2,$,30.9,9781786576538,Reference,dataset/Reference/0000096.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3745/9780374532123.jpg,Dead Aid,Dambisa F Moyo,Paperback,3.5,12.18,$,15.0,9780374532123,Reference,dataset/Reference/0000097.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6099/9781609949815.jpg,Humble Inquiry; The Gentle Art of Asking Instead of Telling,Edgar H. Schein,Paperback,4.0,10.78,$,17.0,9781609949815,Reference,dataset/Reference/0000098.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752266077.jpg,Match Annual 2019,Match,Hardback,4.5,9.31,$,9.5,9780752266077,Reference,dataset/Reference/0000099.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6712/9780671213329.jpg,Art Of Dramatic Writing,Lajos Egri,Paperback,4.0,10.67,$,15.0,9780671213329,Reference,dataset/Reference/0000100.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8777/9780877798224.jpg,"The Official Scrabble Players Dictionary, Fifth Edition",Merriam-Webster,Paperback,4.5,11.31,$,,9780877798224,Reference,dataset/Reference/0000101.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4052/9781405206280.jpg,Explorers on the Moon,Herge,Paperback,4.0,8.41,$,10.3,9781405206280,Reference,dataset/Reference/0000102.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1996/9780199689453.jpg,Social Research Methods,Alan Bryman,Paperback,3.5,54.58,$,,9780199689453,Reference,dataset/Reference/0000103.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8920/9781892005090.jpg,Raising Children Compassionately,Marshall B. Rosenberg,Paperback,4.0,5.3,$,7.8,9781892005090,Reference,dataset/Reference/0000104.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5255/9780525559252.jpg,Cribsheet,Emily Oster,Hardback,4.0,18.24,$,27.5,9780525559252,Reference,dataset/Reference/0000105.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8850/9781885071620.jpg,Pocket Ref,Thomas J. Glover,Paperback,4.5,11.31,$,12.9,9781885071620,Reference,dataset/Reference/0000106.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405927420.jpg,Our World,Little Mix,Hardback,4.5,21.16,$,,9781405927420,Reference,dataset/Reference/0000107.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1405/9780140512540.jpg,The Penguin Dictionary of Symbols,Alain Gheerbrant,Paperback,4.5,20.09,$,21.5,9780140512540,Reference,dataset/Reference/0000108.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7865/9781786579096.jpg,Lonely Planet USA Planning Map,Lonely Planet,Mixed media product,0.0,4.99,$,6.7,9781786579096,Reference,dataset/Reference/0000109.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2262/9780226239736.jpg,The Craft of Research,Wayne C. Booth,Paperback,4.0,17.08,$,,9780226239736,Reference,dataset/Reference/0000110.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9935/9780993538704.jpg,Great Thinkers,The School of Life,Hardback,4.5,23.49,$,24.0,9780993538704,Reference,dataset/Reference/0000111.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1953/9780195374636.jpg,The Bottom Billion,Paul Collier,Paperback,4.0,8.39,$,12.9,9780195374636,Reference,dataset/Reference/0000112.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6081/9781608198740.jpg,The Flavor Thesaurus,Niki Segnit,Hardback,4.0,22.66,$,29.9,9781608198740,Reference,dataset/Reference/0000113.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141982656.jpg,Skin in the Game,Nassim Nicholas Taleb,Paperback,4.0,10.48,$,12.9,9780141982656,Reference,dataset/Reference/0000114.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0074/9780007427925.jpg,Knowledge is Beautiful,David McCandless,Hardback,4.0,24.03,$,24.3,9780007427925,Reference,dataset/Reference/0000115.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6040/9781604077872.jpg,Living Nonviolent Communication,Marshall B. Rosenberg,Paperback,4.5,14.95,$,18.0,9781604077872,Reference,dataset/Reference/0000116.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8483/9781848311329.jpg,Do You Think You're Clever?,John Farndon,Paperback,3.0,8.97,$,11.4,9781848311329,Reference,dataset/Reference/0000117.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7823/9781782392262.jpg,The Library Book,Susan Orlean,Paperback,4.0,18.32,$,,9781782392262,Reference,dataset/Reference/0000118.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4864/9780486401461.jpg,Oscar Wilde's Wit and Wisdom,Oscar Wilde,Paperback,4.0,2.81,$,,9780486401461,Reference,dataset/Reference/0000119.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0627/9780062731005.jpg,The Cartoon Guide to Physics,Larry Gonick,Paperback,4.0,13.6,$,19.1,9780062731005,Reference,dataset/Reference/0000120.jpg
